"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SHY","iShares 1-3 Year Treasury Bond ETF","83.75","11189000000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/shy",
"TLT","iShares 20+ Year Treasury Bond ETF","124.31","6911636000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/tlt",
"IEI","iShares 3-7 Year Treasury Bond ETF","121.62","6932340000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/iei",
"IEF","iShares 7-10 Year Treasury Bond ETF","104.64","8339808000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ief",
"AIA","iShares Asia 50 ETF","68.4","793440000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/aia",
"COMT","iShares Commodities Select Strategy ETF","37.46","314664000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/comt",
"ISTB","iShares Core 1-5 Year USD Bond ETF","49.72","1257916000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/istb",
"IXUS","iShares Core MSCI Total International Stock ETF","65.34","8860104000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ixus",
"IUSG","iShares Core S&P U.S. Growth ETF","55.86","3605763000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/iusg",
"IUSV","iShares Core S&P U.S. Value ETF","57.01","3335085000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/iusv",
"IUSB","iShares Core Total USD Bond Market ETF","50.71","2008116000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/iusb",
"HEWG","iShares Currency Hedged MSCI Germany ETF","29.58","677382000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/hewg",
"SUSB","iShares ESG 1-5 Year USD Corporate Bond ETF","24.91","22419000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/susb",
"SUSC","iShares ESG USD Corporate Bond ETF","25.28","10112000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/susc",
"XT","iShares Exponential Technologies ETF","36.84","1637538000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/xt",
"FALN","iShares Fallen Angels USD Bond ETF","27.51","26134500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/faln",
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","40.75","40750000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ifeu",
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","30.63","640167000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/ifgl",
"IGF","iShares Global Infrastructure ETF","45.28","2467760000","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/igf",
"GNMA","iShares GNMA Bond ETF","49.33","130724500","n/a","n/a","n/a","n/a","https://www-qc.nasdaq.com/symbol/gnma",
